Country,Beta0 (Coeff),Beta1 (Ratio),Beta2 (Price),e0 (Coeff),e1 (Ratio),e2 (Price),t0 (Coeff),t1 (Ratio),t2 (Price),95%% Coeff. Int (Coeff),95%% Coeff. Int (Ratio),95%% Coeff. Int (Price)
Austria,17.7285591126,-0.161755832861,0.699691744903,0.128914161041,0.0653497014904,0.154427500931,137.522200583,-2.47523445666,4.53087526954,"[17.4577205104, 17.9993977149]","[-0.299050461046, -0.0244612046768]","[0.375251604579, 1.02413188523]"
Azerbaijan,14.6565307684,-1.26463858153,-0.276505912304,0.336890683561,0.168766459369,0.255179231269,43.5053015223,-7.49342367115,-1.0835753009,"[13.9457535562, 15.3673079806]","[-1.62070468652, -0.908572476539]","[-0.814887029574, 0.261875204966]"
"Bahamas, The",18.1677167166,-0.224189583737,0.425972194913,0.0765705667337,0.0501323425994,0.170404476233,237.267627648,-4.47195507157,2.49977115819,"[18.0068479253, 18.3285855079]","[-0.329513727233, -0.118865440241]","[0.0679656750402, 0.783978714786]"
Bahrain,16.2000160405,-0.265594618827,0.519190706412,0.093566969993,0.0464701910984,0.125796200296,173.138192267,-5.7153760841,4.12723679403,"[16.003439131, 16.39659295]","[-0.36322486752, -0.167964370135]","[0.254902696631, 0.783478716193]"
Bangladesh,17.1776194603,-0.65347687718,0.197736479245,0.253896318233,0.0520668007845,0.103756241144,67.6560399922,-12.5507399597,1.90577913255,"[16.6442030893, 17.7110358312]","[-0.762865166512, -0.544088587847]","[-0.0202472945879, 0.415720253078]"
Barbados,17.0099863651,-0.42051613652,0.474191962008,0.117154671406,0.0643670865322,0.0946593452386,145.192557506,-6.5330925971,5.00945744778,"[16.7638535339, 17.2561191964]","[-0.555746367282, -0.285285905759]","[0.275320057281, 0.673063866735]"
Belarus,15.3584970137,-0.936265081694,0.24245525752,0.257545132443,0.150695451132,0.160897070369,59.6341964145,-6.2129618025,1.50689665737,"[14.8151242813, 15.9018697461]","[-1.254204692, -0.618325471387]","[-0.0970078879718, 0.581918403012]"
Belgium,18.4197277426,-0.378565139443,0.168795649276,0.0766952135498,0.0380286431426,0.0813806639854,240.167891711,-9.95473696034,2.07414932503,"[18.2585970781, 18.5808584071]","[-0.458460353982, -0.298669924904]","[-0.00217878134032, 0.339770079892]"
Belize,16.4043968629,-0.534017755083,0.356225479806,0.0983437258991,0.0421470403999,0.0940986678563,166.806745554,-12.6703500416,3.78565911634,"[16.1977843616, 16.6110093642]","[-0.62256540119, -0.445470108976]","[0.158531514549, 0.553919445063]"
Benin,13.5886166444,-0.986751264174,0.503344904831,0.309475524993,0.127518950783,0.177089581432,43.9085341068,-7.73807546342,2.84231799952,"[12.938432693, 14.2388005958]","[-1.25465863842, -0.718843889926]","[0.131293500104, 0.875396309559]"
Bermuda,17.6408980137,-0.0909925181115,0.672934964795,0.0554262394955,0.0312549753942,0.11639912796,318.277014178,-2.91129706435,5.78127153176,"[17.5244518056, 17.7573442219]","[-0.156656784784, -0.0253282514387]","[0.428389471399, 0.91748045819]"
Bhutan,11.6955397967,-0.946702002994,0.0234500190307,0.180601712066,0.124872231292,0.0374693299887,64.7587426661,-7.58136531397,0.625845699345,"[11.3161096793, 12.0749699141]","[-1.20904882593, -0.684355180059]","[-0.0552701221755, 0.102170160237]"
Bolivia,16.8093129604,-0.67625220093,0.304958935608,0.190348293695,0.0856938129804,0.158408043537,88.3081882906,-7.89149388282,1.92514804678,"[16.4094060349, 17.209219886]","[-0.856288221333, -0.496216180527]","[-0.0278440144095, 0.637761885626]"
Bosnia and Herzegovina,16.3068212433,-0.607910320047,0.174994730177,0.284883065897,0.210011904049,0.0393029685478,57.2404020996,-2.89464696203,4.45245579768,"[15.705770513, 16.9078719736]","[-1.05099670674, -0.164823933354]","[0.0920727148796, 0.257916745474]"
Botswana,14.1905267444,-0.736652644842,0.419111290284,0.136533182041,0.155779468628,0.190372903579,103.934637224,-4.72881729108,2.20152806626,"[13.9036811731, 14.4773723158]","[-1.0639331639, -0.409372125785]","[0.0191526612902, 0.819069919277]"
Brazil,19.7348473939,-0.697375156326,-0.392729492367,0.181130660251,0.0918402917349,0.289100258044,108.953654597,-7.59334648391,-1.35845431279,"[19.3543059976, 20.1153887902]","[-0.890324449414, -0.504425863238]","[-1.00010659633, 0.214647611597]"
Bulgaria,16.1269673016,-1.09100622843,-0.00743012692943,0.140557516698,0.0835013430677,0.0598827192146,114.735715886,-13.0657326978,-0.124077981543,"[15.8316669168, 16.4222676863]","[-1.26643604047, -0.915576416388]","[-0.133239051557, 0.118378797698]"
