Country,Beta0 (Coeff),Beta1 (Price),e0 (Coeff),e1 (Price),t0 (Coeff),t1 (Price),95%% Coeff. Int (Coeff),95%% Coeff. Int (Price)
Colombia,19.1967783424,-0.778196058494,0.105040204102,0.0514482405415,182.756483639,-15.1258050869,"[18.9769266685, 19.4166300163]","[-0.885878463505, -0.670513653484]"
Comoros,12.6740389335,-1.45247313087,0.389338330796,0.256120829643,32.5527643465,-5.67104648574,"[11.8591444418, 13.4889334251]","[-1.98854018815, -0.916406073592]"
Congo,14.24482316,-1.19778964974,0.143737726535,0.0872418407272,99.1028834489,-13.7295320658,"[13.9439766408, 14.5456696792]","[-1.38038892093, -1.01519037855]"
Costa Rica,18.0463240317,-0.663616391516,0.0972647403841,0.0545401252377,185.538191542,-12.1674893232,"[17.8427465904, 18.2499014729]","[-0.777770185569, -0.549462597463]"
Cote d'Ivoire,16.4031263795,-0.686709607701,0.0824185788475,0.0580185844906,199.022193889,-11.8360282956,"[16.2306223114, 16.5756304475]","[-0.808143900643, -0.565275314759]"
Croatia,16.9932368665,-0.288715357128,0.18565336826,0.104758713182,91.5320687461,-2.75600327992,"[16.6031936133, 17.3832801198]","[-0.508805246559, -0.0686254676981]"
Cuba,17.9781004256,-1.37021083216,0.253550565609,0.581842303708,70.9053848192,-2.35495223263,"[17.4474129928, 18.5087878585]","[-2.58802076969, -0.152400894623]"
Cyprus,16.2725872294,-0.238068369388,0.105434522915,0.0576377608464,154.338320879,-4.13042363014,"[16.0519102368, 16.493264222]","[-0.358705589282, -0.117431149495]"
Czech Republic,17.1619398737,-0.451148061433,0.159441148024,0.104039262368,107.63808519,-4.33632506773,"[16.8282257157, 17.4956540318]","[-0.668904740171, -0.233391382695]"
Denmark,17.8341294466,-0.284268947143,0.128200580793,0.0666638100927,139.11114393,-4.26421692291,"[17.5658025472, 18.102456346]","[-0.423797905225, -0.14473998906]"
Djibouti,13.8792345927,-0.984938014713,0.139207976079,0.113373302827,99.7014322282,-8.68756568042,"[13.5878689502, 14.1706002352]","[-1.22223106466, -0.747644964769]"
Dominica,16.1173815205,-0.701350425901,0.192677501065,0.119414453495,83.649525406,-5.8732457033,"[15.714102876, 16.520660165]","[-0.95128774951, -0.451413102292]"
Dominican Republic,19.4577826521,-0.713538566479,0.0667861855322,0.0321896854077,291.344422459,-22.1666834404,"[19.3179975593, 19.5975677449]","[-0.780912352341, -0.646164780617]"
Ecuador,18.6128735479,-0.790427225436,0.0918310441398,0.05816818609,202.686071167,-13.5886517797,"[18.4206689635, 18.8050781322]","[-0.912174638124, -0.668679812749]"
Egypt,18.3434766282,-0.634356489266,0.145704944875,0.083950368599,125.894674638,-7.55632762372,"[18.0385126737, 18.6484405826]","[-0.81006663012, -0.458646348412]"
El Salvador,18.8510611226,-0.827233032364,0.104764800175,0.0638758627563,179.936973974,-12.9506357592,"[18.6317858758, 19.0703363694]","[-0.960926749609, -0.693539315119]"
Equatorial Guinea,12.7432767154,-1.51075602306,0.203829717922,0.150152546053,62.5192285274,-10.0614745655,"[12.3166562128, 13.169897218]","[-1.82502891378, -1.19648313234]"
Estonia,14.8667691919,-0.989052356943,0.11709537092,0.0848044447917,126.962911302,-11.6627419633,"[14.6207609463, 15.1127774375]","[-1.16721988412, -0.810884829769]"
Ethiopia,16.803541806,-1.31101189729,0.097348598714,0.077320067452,172.612056341,-16.9556486497,"[16.5997888472, 17.0072947647]","[-1.47284465835, -1.14917913622]"
Fiji,16.0921878633,-0.74677659491,0.159103593523,0.126673834321,101.14283095,-5.89527110246,"[15.7591802149, 16.4251955117]","[-1.01190797721, -0.481645212612]"
Finland,17.1168195985,-0.363364474924,0.119075027197,0.066908256547,143.748189704,-5.43078677694,"[16.8675927023, 17.3660464947]","[-0.503405065315, -0.223323884532]"
France,19.8841167585,-0.26322035004,0.113178233711,0.0600926850619,175.688523372,-4.38023945458,"[19.6472319929, 20.1210015241]","[-0.388995785368, -0.137444914711]"
French Polynesia,15.3759174909,-0.462809080463,0.220565884359,0.167180252394,69.7112227288,-2.76832385306,"[14.9142677894, 15.8375671925]","[-0.812721370147, -0.11289679078]"
